name,area,salary,corp_name,description,job_restrict,welfare
CAD Designer Engineer,上海-嘉定区,1-1.5万/月,埃贝赫排气技术（上海）有限公司,"
外资（欧美）  |  150-500人  |  汽车及零配件","3-4年经验,本科,招1人,03-02发布",
上海区域行业销售工程师,上海,0.6-1万/月,施耐德万高（天津）电气设备有限公司,"
外资（欧美）  |  150-500人  |  机械/设备/重工","1年经验,本科,招1人,03-02发布",
IT测试实习生,上海-长宁区,120元/天,上海春秋国际旅行社（集团）有限公司,"
民营公司  |  1000-5000人  |  酒店/旅游","无工作经验,大专,招1人,03-02发布",
行政前台-长宁,上海-长宁区,4-5千/月,世邦魏理仕,"
外资（欧美）  |  10000人以上  |  房地产,专业服务(咨询、人力资源、财会)","无工作经验,招1人,03-02发布","带薪年假,周末双休,五险一金,绩效奖金,专业培训"
QA,上海-金山区,6-8千/月,上海众力投资发展有限公司,"
民营公司  |  150-500人  |  汽车及零配件","2年经验,大专,招1人,03-02发布","五险一金,餐饮补贴,通讯补贴,专业培训,年终奖金"
投资顾问（基本薪资5800元 + 五险一金+提成）,上海-浦东新区,1-1.5万/月,上海御宁网络科技有限公司,"
民营公司  |  500-1000人  |  金融/投资/证券","无工作经验,大专,招若干人,03-02发布","带薪年假,五险一金,节日福利,专业培训,绩效奖金,电话补贴,组织旅游"
盖璞/店铺门店陈列主管 GAP/Store VM Supervisor,上海,6-8千/月,盖璞（上海）商业有限公司(Gap China),"
外资（欧美）  |  500-1000人  |  服装/纺织/皮革,批发/零售","2年经验,高中,招1人,03-02发布","做五休二,带薪年假,五险一金,绩效奖金,专业培训,交通补贴,加班补贴,节日福利"
包装设计师/产品设计师/包装创意设计师,上海-杨浦区,0.8-1万/月,上海弗艾柏生物科技有限公司,"
民营公司  |  50-150人  |  快速消费品(食品、饮料、化妆品)","2年经验,招1人,03-02发布","五险一金,员工旅游,弹性工作,专业培训,股票期权,年终奖金,绩效奖金"
销售工程师(轨道交通、新能源行业）,株洲,0.6-1万/月,上海黑山科技有限公司,"
民营公司  |  少于50人  |  机械/设备/重工,互联网/电子商务","2年经验,本科,招2人,03-02发布","五险一金,员工旅游,餐饮补贴,专业培训,通讯补贴,出国机会,绩效奖金,年终奖金,股票期权,定期体检"
仓库管理员,上海-青浦区,3.5-5千/月,荣庆物流供应链有限公司昆山,"
合资  |  150-500人  |  交通/运输/物流","无工作经验,高中,招5人,03-02发布","五险一金,免费食宿,做六休一,法定节假日,带薪年假,包住宿,包三餐,专业培训,住房补贴"
包装设计工程师,上海-闵行区,0.6-1.2万/月,上海三思电子工程有限公司,"
民营公司  |  1000-5000人  |  电子技术/半导体/集成电路","5-7年经验,大专,招1人,03-02发布",
子公司东证润和-高级IT专员,上海,0.5-1.2万/月,上海东证期货有限公司,"
国企  |  150-500人  |  金融/投资/证券","2年经验,本科,招1人,03-02发布","做五休二,带薪年假,五险一金,节日福利,周末双休"
行政人事专员,上海-长宁区,4.5-6千/月,上海椅茂贸易有限公司,"
民营公司  |  50-150人  |  快速消费品(食品、饮料、化妆品),贸易/进出口","1年经验,大专,招1人,03-02发布","带薪年假,五险一金,全勤奖,节日福利,交通补贴,餐饮补贴,通讯补贴,年终奖金"
摄像技术,上海,0.8-1.5万/月,中视前卫影视传媒有限公司,"
国企  |  1000-5000人  |  影视/媒体/艺术/文化传播","2年经验,本科,招3人,03-02发布","五险一金,绩效奖金,专业培训,餐饮补贴"
青少儿口语老师 (MJ000775),上海-浦东新区,0.8-1万/月,沪江,"
民营公司  |  1000-5000人  |  互联网/电子商务,教育/培训/院校","无工作经验,招若干人,03-02发布",
项目经理（有JAVA基础）,上海-静安区,0.8-1.5万/月,深圳市蓝凌软件股份有限公司,"
上市公司  |  500-1000人  |  计算机软件","3-4年经验,大专,招1人,03-02发布","五险一金,员工旅游,年终奖金,定期体检,绩效奖金"
欧洲品牌天猫淘宝运营主管/店长（年薪15W-30W),上海-青浦区,1.5-3万/月,上海婴途贸易有限责任公司,"
民营公司  |  少于50人  |  互联网/电子商务","5-7年经验,大专,招1人,03-02发布",
招聘主管,上海-松江区,6-8千/月,远丰仁商软件技术（上海）有限公司,"
合资  |  150-500人  |  互联网/电子商务","3-4年经验,大专,招1人,03-02发布","五险一金,员工旅游,年终奖金,绩效奖金,专业培训"
JAVA工程师,上海-闵行区,1.2-2万/月,移康智能科技（上海）股份有限公司,"
外资（欧美）  |  50-150人  |  电子技术/半导体/集成电路,通信/电信/网络设备","无工作经验,招1人,03-02发布","五险一金,员工旅游,股票期权,年终奖金,绩效奖金,专业培训,餐饮补贴,定期体检"
会计专员,上海-闵行区,6-8千/月,上海明豪国际贸易有限公司,"
民营公司  |  少于50人  |  贸易/进出口","1年经验,大专,招1人,03-02发布","做五休二,周末双休,带薪年假,五险一金"
安装工,上海-浦东新区,3.5-6千/月,上海平文广告有限公司,"
民营公司  |  少于50人  |  广告,文字媒体/出版","无工作经验,招5人,03-02发布",
维修技术员,上海-浦东新区,4-6千/月,雍测（上海）电子科技有限公司,"
民营公司  |  少于50人  |  电子技术/半导体/集成电路,仪器仪表/工业自动化","无工作经验,招若干人,03-02发布","五险一金,餐饮补贴,弹性工作,通讯补贴,交通补贴"
运营管理主管,上海-金山区,6.5-7千/月,上海长润发涂料有限公司,"
民营公司  |  150-500人  |  石油/化工/矿产/地质","5-7年经验,本科,招1人,03-02发布","五险一金,通讯补贴,专业培训,年终奖金,交通补贴,定期体检,餐饮补贴"
集采业务主管（装饰公司渠道）,上海-青浦区,1-1.5万/月,书香门地（上海）美学家居股份有限公司,"
合资  |  1000-5000人  |  建筑/建材/工程,批发/零售","3-4年经验,大专,招1人,03-02发布","五险一金,专业培训,绩效奖金,年终奖金,餐饮补贴"
Dallas  Design,上海-长宁区,1-2万/月,亚创博彦（上海）信息技术有限公司,"
外资（欧美）  |  10000人以上  |  通信/电信/网络设备","无工作经验,招2人,03-02发布","五险一金,弹性工作"
挑战高薪（试用期4500+包住+提成无上限）,上海-浦东新区,6-8千/月,太平洋房屋（中国总部）,"
外资（非欧美）  |  1000-5000人  |  房地产,互联网/电子商务","无工作经验,大专,招20人,03-02发布","包住宿,带薪年假,专业培训,弹性工作,全勤奖,绩效奖金,节日福利,五险一金,出国机会,员工旅游"
官网客服（电话/网络）近曹路唐镇川沙,上海-浦东新区,6-8千/月,上海你我贷互联网金融信息服务有限公司,"
民营公司  |  1000-5000人  |  金融/投资/证券,互联网/电子商务","1年经验,中专,招10人,03-02发布","做五休二,周末双休,弹性工作,五险一金,专业培训,节日福利,绩效奖金,餐饮补贴,加班补贴"
2018强势扩张丨销售底薪5000+提成+住宿丨不要经验,上海-浦东新区,0.8-1.2万/月,上海我爱我家房地产经纪有限公司,"
上市公司  |  10000人以上  |  房地产,中介服务","无工作经验,高中,招30人,03-02发布","弹性工作,带薪年假,包住宿,绩效奖金,节日福利,专业培训,国内外旅游,团队聚餐多,团队颜值高,地铁沿线"
保底薪资6K-12K 销售英语课程 晋升管道畅通,上海-虹口区,1-1.5万/月,上海晨彧商务信息咨询有限公司,"
民营公司  |  500-1000人  |  金融/投资/证券,教育/培训/院校","无工作经验,大专,招若干人,03-02发布","做五休二,弹性工作,带薪年假,五险一金,专业培训,节日福利,全勤奖,绩效奖金"
